feature	repeat	scope	n	mean_absolute_score_change	mean_signed_score_change	score_spearman	t95_flip_fraction	above_t95_jaccard
codon_pos1_any	1	unlabeled_or_other	41280	0.007010776487828058	0.0023414269960034106	0.9859288223699378	0.05949612403100775	0.9155868705963224
codon_pos1_any	2	all_variants	49704	0.00887099841502222	0.00433871228242976	0.986505962774216	0.05148478995654273	0.9138209739341281
codon_pos1_any	2	neutral_validation	2071	0.01741273087760629	0.013470429773160918	0.8659950751046868	0.017382906808305166	0.7209302325581395
codon_pos1_any	2	unlabeled_or_other	41280	0.007086350446426139	0.002431092425022108	0.9861139264015264	0.05775193798449613	0.917866740163991
codon_pos1_any	3	all_variants	49704	0.008811975010521146	0.004321803304175765	0.9864435651311532	0.05283276999839047	0.9117577875600659
codon_pos1_any	3	neutral_validation	2071	0.017818487577112938	0.01424579659244801	0.8662428830110749	0.017382906808305166	0.71875
codon_pos1_any	3	unlabeled_or_other	41280	0.007049175857364165	0.002411646977770869	0.9859449289965893	0.059253875968992245	0.9159305722632755
codon_pos1_any	4	all_variants	49704	0.008876893833829927	0.004366693602850022	0.9863966903113122	0.052370030581039756	0.9124688950164772
codon_pos1_any	4	neutral_validation	2071	0.017843050749017597	0.013998378531970966	0.8695904429845684	0.021728633510381457	0.6715328467153284
codon_pos1_any	4	unlabeled_or_other	41280	0.007076452748173545	0.0024257639384450305	0.9858967936940686	0.05910852713178295	0.9161108437048752
codon_pos2_any	0	all_variants	49704	0.024698535454888856	0.003062049475194745	0.8292650398746649	0.0879808466119427	0.8594297470185477
codon_pos2_any	0	neutral_validation	2071	0.027898961045216292	0.02151682815825477	0.8011959004852292	0.06760019314340898	0.3137254901960784
codon_pos2_any	0	unlabeled_or_other	41280	0.024322386415422104	-0.00047277876573162544	0.7405745079633071	0.09433139534883721	0.8711747775167896
codon_pos2_any	1	all_variants	49704	0.024925575006615908	0.0031148365384479244	0.8289805930372748	0.08810156124255593	0.8590148100450741
codon_pos2_any	1	neutral_validation	2071	0.027487379512570225	0.021494587295363268	0.7968598743509228	0.05552873008208595	0.37158469945355194
codon_pos2_any	1	unlabeled_or_other	41280	0.024458083866445296	-0.0005115491705209886	0.739831492343319	0.09530038759689922	0.8697652861919423
